ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,sound3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,key_replay1.rt,key_replay1.duration,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0100895999930799,0.033254100009799004,0.033254100009799004,6.3676623000064865,space,6.326988299959339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6.367698199930601,6.383328999974765,6.383328999974765,24.646253200015053,space,18.260542599949986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.64628919993993,24.662645100033842,24.662645100033842,36.508801199961454,space,11.844761399901472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.50883639999665,36.52460719994269,37.52474339993205,37.50838210002985,37.5084002999356,37.52474339993205,37.52474339993205,42.54045770002995,space,5.004236500011757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.54049629997462,42.566322099999525,43.555662099970505,43.555759949947245,72.23062689998187,space,28.666241400060244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.23068109992892,72.24708529992495,72.24708529992495,81.96059909998439,space,9.702575500006787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
51,NotModifiedSH,resources/new_sounds_not_modified/M4mosh.wav,0.573267020202984,None,None,None,None,e,M,0,0,0,27,,,,,82.01647839997895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00434310000855,82.01647839997895,82.47431790002156,0.5138488999800757,83.05765700002667,83.08216540003195,1.0979374999878928,83.54875670000911,97.12244049995206,e,14.055289600044489,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
44,ModifiedSH,resources/new_sounds_2/F2thrasher.wav,0.510249433106576,None,None,None,None,r,F,0,1,1,20,,,,,97.13814679998904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.12353159999475,97.13814679998904,97.63753950002138,0.5143646999495104,98.13726220000535,98.15381579997484,1.030624800012447,98.63709289999679,99.93797259998973,e,1.798365299939178,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
24,NotModifiedT,resources/new_sounds_not_modified/F1party.wav,0.63399526438517,None,None,None,None,e,F,0,2,2,0,,,,,99.95360499992967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.93877210002393,99.95360499992967,100.45326690003276,0.5149305999511853,101.0862001000205,101.1029960999731,1.1646580999949947,101.58605329995044,102.25414309999906,e,1.1509513999335468,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
49,NotModifiedT,resources/new_sounds_not_modified/M2lot.wav,0.466575772426751,None,None,None,None,e,M,0,3,3,25,,,,,102.26943109999411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.25490459997673,102.26943109999411,102.76889589999337,0.5143546001054347,103.23547159996815,103.23547159996815,0.9813498000148684,103.73749189998489,105.29339909995906,e,2.0524601999204606,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott,001,2024-02-06_20h58.01.621,M2_experiment1,2023.2.3,59.99703615178415,2024-02-06 20h58.14.116831 +0100,
