ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,text_recording1_3.stopped,key_resp_question3.started,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,sound3.stopped,key_resp_question1.started,text_recording3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0330993999959901,0.05131929996423423,0.05131929996423423,7.013379900017753,space,6.945070700021461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.013417099951766,7.029229799984023,7.029229799984023,10.063844799995422,space,3.0204662999603897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.063881400041282,10.080227500060573,10.080227500060573,11.814261900028214,space,1.7171851000748575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.814309800043702,11.828825399978086,12.828926000045612,12.813403100008145,12.813422000035644,12.828926000045612,12.828926000045612,15.19690590002574,space,2.3653146000579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1969434999628,15.228919600020163,16.21121179999318,16.211286559980362,19.511271900031716,space,3.2894096999661997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.529224100057036,19.542220899951644,19.542220899951644,22.943465400021523,space,3.3921084000030532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
53,NotModifiedSH,resources/new_sounds_not_modified/M6fresher.wav,0.558439616650624,None,None,None,None,e,M,0,0,0,29,,,,,22.98936510004569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97667869995348,22.98936510004569,23.44539510004688,0.5020484999986365,24.01063969999086,24.01063969999086,1.0680511000100523,24.511662999982946,25.932118199998513,e,1.8996927000116557,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
52,NotModifiedSH,resources/new_sounds_not_modified/M4swoosh.wav,0.736227123531279,None,None,None,None,e,M,0,1,1,28,,,,,25.949372999952175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.934950200025924,25.949372999952175,26.442819499992765,0.5086455999407917,27.189166800002567,27.17256279999856,1.2549707000143826,27.67292499996256,28.00870120001491,r,0.8269749999744818,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
42,NotModifiedT,resources/new_sounds_not_modified/F4feat.wav,0.478604920503187,None,None,None,None,e,F,0,2,2,18,,,,,28.024464100017212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.010120999999344,28.024464100017212,28.52226899995003,0.5127979000099003,29.005351800005883,28.988674200023524,0.9958746000193059,29.48856580001302,30.64110999996774,r,1.6452842999715358,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
36,NotModifiedT,resources/new_sounds_not_modified/F4lot.wav,0.386965569882676,None,None,None,None,e,F,0,3,3,12,,,,,30.656992699950933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.64264470001217,30.656992699950933,31.154871699982323,0.5128966000629589,31.55446250003297,31.537977100000717,0.9124798000557348,32.037794600008056,32.70706379995681,r,1.153553199954331,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellie,001,2024-02-06_21h04.59.546,M2_experiment1,2023.2.3,60.00855722953251,2024-02-06 21h05.10.785483 +0100,
