ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,sound3.stopped,key_replay1.rt,key_replay1.duration,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.034403600031509995,0.05235360004007816,0.05235360004007816,5.886138699948788,space,5.832683200016618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.886177100008354,5.901268500019796,5.901268500019796,6.785285099991597,space,0.8713803000282496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.785319200018421,6.800870800041594,6.800870800041594,20.14866459998302,space,13.335047699976712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.148704100050963,20.164199099992402,21.163977000047453,21.14818659995217,21.14820920000784,21.163977000047453,21.163977000047453,24.347868100041524,space,3.17765949992463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.347914700047113,24.38066849997267,25.36283750005532,25.362699999986216,38.2757200000342,space,12.898148700012825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.27579159999732,38.29165479994845,38.29165479994845,50.42517900001258,space,12.130240499973297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
38,ModifiedT,resources/new_sounds_2/M7butter.wav,0.44172335600907,None,None,None,None,r,M,0,0,0,14,,,,,50.56343600002583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.54093679995276,50.56343600002583,50.937885500025004,0.5128017999231815,51.37138549995143,51.38772150001023,0.9626624999800697,51.87220450001769,53.49445040000137,e,2.104745699907653,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
36,NotModifiedT,resources/new_sounds_not_modified/F4lot.wav,0.386965569882676,None,None,None,None,e,F,0,1,1,12,,,,,53.528098699986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.500052500050515,53.528098699986,54.00333209999371,0.5039829999441281,54.386857399949804,54.41998889995739,,54.88725040003192,56.30977569997776,r,1.9059525000629947,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
30,ModifiedT,resources/new_sounds_2/F3footer.wav,0.597777777777778,None,None,None,None,r,F,0,2,2,6,,,,,56.341288800002076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.31131270003971,56.341288800002076,56.81909660005476,0.5086203999817371,57.41916719998699,57.41916719998699,1.1093742999946699,57.91948559996672,58.60531480005011,r,1.170215699938126,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
43,NotModifiedT,resources/new_sounds_not_modified/F2feat.wav,0.644364234737267,None,None,None,None,e,F,0,3,3,19,,,,,58.63725789997261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.60670729994308,58.63725789997261,59.1184012000449,0.5123550000134856,59.751793800038286,59.7682547000004,1.162207799963653,60.2517798000481,60.538076799944974,e,0.7770079999463633,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
50,NotModifiedSH,resources/new_sounds_not_modified/M3dish.wav,0.409302075267592,None,None,None,None,e,M,0,4,4,26,,,,,60.57071110000834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5395070000086,60.57071110000834,61.050995699944906,0.512181399972178,61.45116339996457,61.48986930004321,0.9510417999699712,61.950443299952894,62.284575299941935,e,0.8251900000032037,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
27,ModifiedSH,resources/new_sounds_2/M4flesh.wav,0.722767978649223,None,None,None,None,r,M,0,5,5,3,,,,,62.30740239995066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.285276200040244,62.30740239995066,62.80018799996469,0.5152847999706864,63.516409300034866,63.533359799999744,,64.01622590003535,64.26813240000047,e,0.7400072000455111,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
35,NotModifiedSH,resources/new_sounds_not_modified/M7mosh.wav,0.618134342110551,None,None,None,None,e,M,0,6,6,11,,,,,64.29541330004577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.26906289998442,64.29541330004577,64.78261440002825,0.5140003999695182,65.39923590002581,65.42984630004503,,65.8988428999437,65.91759780002758,e,0.5158799999626353,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ninoshkka,001,2024-02-29_15h54.16.260,M2_experiment1,2023.2.3,60.07514200028877,2024-02-29 15h54.40.388407 +0100,
