ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,text_recording1_3.stopped,sound1_3.stopped,key_resp_question3.started,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,sound3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.034733799984678626,0.05810140003450215,0.05810140003450215,5.004233099985868,space,4.932835299987346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.004271100042388,5.019526500022039,5.019526500022039,6.621396400034428,space,1.5989641000051051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.621431899955496,6.637730799964629,6.637730799964629,14.390760599984787,space,7.749017900088802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.390795800019987,14.415377199999057,15.401382299955003,15.40139969997108,15.41786389995832,15.41786389995832,21.300321100046858,space,5.880713500082493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.300355599960312,21.32719260000158,22.315613099955954,22.31547898997087,25.49890989996493,space,3.1730974999954924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.52667020005174,25.539308100007474,25.539308100007474,30.797251099953428,space,5.252070900052786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
38,ModifiedT,resources/new_sounds_2/M7butter.wav,0.44172335600907,None,None,None,None,r,M,0,0,0,14,,,,,30.847592400037684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.835114900022745,30.847592400037684,31.299870499991812,0.5027594000566751,31.772395299980417,0.9469810000155121,31.772395299980417,32.260880499961786,34.21135949995369,e,2.4126132000237703,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
37,ModifiedT,resources/new_sounds_2/F4lot.wav,0.449274376417234,None,None,None,None,r,F,0,1,1,13,,,,,34.22875040001236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21297280001454,34.22875040001236,34.71191259997431,0.4994700000388548,35.16171680006664,0.9498340000864118,35.16171680006664,35.66223929997068,36.27921129995957,r,1.1142818999942392,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
29,NotModifiedT,resources/new_sounds_2/M4getting.wav,0.612123590008089,None,None,None,None,e,M,0,2,2,5,,,,,36.295054599992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.27998230000958,36.295054599992,36.796049700002186,0.5165123000042513,37.41212200000882,1.1333023000042886,37.41212200000882,37.893557199975476,38.44477129995357,r,1.0209915000014007,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
42,NotModifiedT,resources/new_sounds_not_modified/F4feat.wav,0.478604920503187,None,None,None,None,e,F,0,3,3,18,,,,,38.46060170000419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.445602099993266,38.46060170000419,38.961989199975505,0.5168200000189245,39.44433470000513,0.9991816999390721,39.42728479998186,39.92944570002146,40.06939990003593,e,0.6271704999962822,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bow,001,2024-02-06_20h31.09.911,M2_experiment1,2023.2.3,59.929618650170134,2024-02-06 20h31.24.243387 +0100,
