ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,sound3.stopped,text_question1.started,sound1.stopped,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,key_replay1.rt,key_replay1.duration,replay_count,Bye.started,text_6.started,text_6.stopped,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.030817899969406426,0.06010869995225221,0.06010869995225221,2.158964000060223,space,2.0934567000949755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1590007999911904,2.1747912999708205,2.1747912999708205,3.024304599966854,space,0.8429806000785902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0243418000172824,3.0394266999792308,3.0394266999792308,4.190949499956332,space,1.1407837000442669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.190984699991532,4.206425599986687,5.205613199970685,5.189752300037071,5.189772599958815,5.205613199970685,5.205613199970685,6.140087199979462,space,0.9184662000043318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14014200004749,6.166971900034696,7.155135500011966,7.155356520041823,9.957375300000422,space,2.790073200012557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.976736600045115,9.989497000002302,9.989497000002302,13.122796899988316,space,3.1195164000382647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
30,ModifiedT,resources/new_sounds_2/F3footer.wav,0.597777777777778,None,None,None,None,r,F,0,0,0,6,,,,,13.167650299961679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15520799998194,13.167650299961679,13.623723000055179,0.501065899967216,14.221936000045389,14.247829500003718,1.100003800005652,14.73565609997604,24.452637600013986,r,10.214331700000912,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
33,ModifiedT,resources/new_sounds_2/M7fatter.wav,0.644739229024943,None,None,None,None,r,M,0,1,1,9,,,,,24.468221500050277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.453809799975716,24.468221500050277,24.969045900041237,0.5156928000506014,25.602214799961075,25.61880850000307,1.1654200999764726,26.103431300027296,27.857614499982446,e,2.2433595000766218,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
43,NotModifiedT,resources/new_sounds_not_modified/F2feat.wav,0.644364234737267,None,None,None,None,e,F,0,2,2,19,,,,,27.874074600054882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.859435299993493,27.874074600054882,28.367769100004807,0.509308599983342,29.016864000004716,29.016864000004716,1.1590649000136182,29.51834129996132,34.91602220002096,r,5.88855519995559,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
52,NotModifiedSH,resources/new_sounds_not_modified/M4swoosh.wav,0.736227123531279,None,None,None,None,e,M,0,3,3,28,,,,,34.93252010003198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.917459600022994,34.93252010003198,35.42954010004178,0.512770300032571,36.16307410004083,36.18003100005444,1.263270499999635,36.66453730000649,40.33753999997862,r,4.158918399945833,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
51,NotModifiedSH,resources/new_sounds_not_modified/M4mosh.wav,0.573267020202984,None,None,None,None,e,M,0,4,4,27,,,,,40.35349889995996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.339484600001015,40.35349889995996,40.84778059995733,0.5090333999833092,41.412101799971424,41.42871240002569,1.0899141000118107,41.912009199964814,46.928412599954754,r,5.499759100028314,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie2,001,2024-02-06_20h47.45.794,M2_experiment1,2023.2.3,59.82567997140698,2024-02-06 20h48.01.207890 +0100,
