ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,text_recording1_3.stopped,key_resp_question3.started,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,sound1_3.stopped,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,sound3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.02643199998419732,0.04444470000453293,0.04444470000453293,5.6043039000360295,space,5.543481000000611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.604341300087981,5.619635400013067,5.619635400013067,13.08671589998994,space,7.456144399940968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.086752200033516,13.103002400021069,13.103002400021069,30.164452200056985,space,17.046282000024803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.16449009999633,30.179796600015834,31.180351000046358,31.16419310006313,31.164213299984112,31.180351000046358,31.180351000046358,36.362699300050735,space,5.171478499891236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3627483000746,36.39014999999199,37.3778235000791,37.37783442008076,45.75952830002643,space,8.372606199933216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.77737800008617,45.79025910003111,45.79025910003111,53.19029010005761,space,7.384314600029029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
40,ModifiedSH,resources/new_sounds_2/F5fresher.wav,0.567437641723356,None,None,None,None,r,F,0,0,0,16,,,,,53.23623210005462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.22400960000232,53.23623210005462,53.7056295000948,0.5154541999800131,54.27486250002403,54.27486250002403,54.772412699996494,59.188665300025605,r,4.902307800017297,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
49,NotModifiedT,resources/new_sounds_not_modified/M2lot.wav,0.466575772426751,None,None,None,None,e,M,0,1,1,25,,,,,59.204608500003815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.189813300035894,59.204608500003815,59.70587280008476,0.51650599995628,60.20000150008127,60.1721992000239,60.67306830000598,63.63694120000582,e,3.4621339000295848,None,None,0.9834826999576762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
27,ModifiedSH,resources/new_sounds_2/M4flesh.wav,0.722767978649223,None,None,None,None,r,M,0,2,2,3,,,,,63.656113900011405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.63835490006022,63.656113900011405,64.13924140005838,0.5015581999905407,64.87155580008402,64.87155580008402,65.36852360004559,66.55309150007088,r,1.669688900001347,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
54,NotModifiedSH,resources/new_sounds_not_modified/F5thrasher.wav,0.585496600933162,None,None,None,None,e,F,0,3,3,30,,,,,66.56850110006053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.55386059999,66.56850110006053,67.06825310003478,0.51476749998983,67.68444800004363,67.65151720005088,68.1515580000123,69.85130069998559,r,2.1942080999724567,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam,001,2024-02-06_20h25.37.502,M2_experiment1,2023.2.3,58.63451934608615,2024-02-06 20h25.53.196812 +0100,
