ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,text_recording1_3.stopped,key_resp_question3.started,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,sound1_3.stopped,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,sound3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.010641900007613003,0.0338968998985365,0.0338968998985365,10.284962099976838,space,10.23592310003005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10.284999799914658,10.30047429993283,10.30047429993283,15.133312999969348,space,4.822069799993187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.133350699907169,15.149689699988812,15.149689699988812,37.57590119994711,space,22.418080399977043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.575940100010484,37.5912956999382,38.59154809999745,38.575468299910426,38.57548819994554,38.59154809999745,38.59154809999745,49.338876299909316,space,10.730639000074007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.33891649998259,49.36800199991558,50.3542596999323,50.35420691996114,62.48528589995112,space,12.118453299975954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.51059009996243,62.52353159990162,62.52353159990162,77.79619129991625,space,15.263825200032443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
40,ModifiedSH,resources/new_sounds_2/F5fresher.wav,0.567437641723356,None,None,None,None,r,F,0,0,0,16,,,,,77.84088239993434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.82837969996035,77.84088239993434,78.31148039991967,0.5153509000083432,78.89472599991132,78.89472599991132,79.37787839991506,88.1765260999091,r,9.265354400034994,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
54,NotModifiedSH,resources/new_sounds_not_modified/F5thrasher.wav,0.585496600933162,None,None,None,None,e,F,0,1,1,30,,,,,88.1921893999679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1776921999408,88.1921893999679,88.69142239994835,0.5141199000645429,89.30549409997184,89.27457189990673,89.77439999999478,92.14211639994755,r,2.861782200052403,None,None,1.1281806000042707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
39,ModifiedSH,resources/new_sounds_2/M7fresher.wav,0.497256235827664,None,None,None,None,r,M,0,2,2,15,,,,,92.15762529999483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.14290839992464,92.15762529999483,92.65676849999,0.5142476999899372,93.15650969999842,93.13995639991481,93.63965299993288,94.72438629996032,e,1.5779193000635132,None,None,1.0139871999854222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
25,ModifiedSH,resources/new_sounds_2/F1swoosh.wav,0.770486715748874,None,None,None,None,r,F,0,3,3,1,,,,,94.7400948998984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7251893999055,94.7400948998984,95.2391459000064,0.5143340999493375,96.02218799991533,96.0056194999488,96.50526959996205,97.0901158999186,r,1.0800120000494644,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balbir,001,2024-02-04_21h11.10.176,M2_experiment1,2023.2.3,59.711260228046754,2024-02-04 21h11.23.843654 +0100,
