ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,sound1_3.stopped,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,sound3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,key_replay1.rt,key_replay1.duration,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.010037299944087863,0.024371799896471202,0.024371799896471202,18.687740799970925,space,18.647174300043844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,18.687780499923974,18.703534899977967,18.703534899977967,28.351393399992958,space,9.64285479998216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.351431699935347,28.367869299952872,28.367869299952872,44.54620579991024,space,16.16217519994825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.546244099969044,44.5610836999258,45.561370000010356,45.545271699898876,45.54529169993475,45.561370000010356,45.561370000010356,53.543158999993466,space,7.978467200067826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.54319849994499,53.569976400001906,54.55827209993731,54.55827091996325,60.041213499964215,space,5.477698400034569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06636890000664,60.07882569998037,60.07882569998037,74.26939349994063,space,14.176144299912266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
52,NotModifiedSH,resources/new_sounds_not_modified/M4swoosh.wav,0.736227123531279,None,None,None,None,e,M,0,0,0,28,,,,,74.3203002999071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.30532459996175,74.3203002999071,74.78490169998258,0.4990299999481067,75.53463139990345,75.55127299996093,76.01775080000516,83.93327719997615,e,8.39641330006998,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
26,ModifiedSH,resources/new_sounds_2/F2fleshing.wav,0.620294784580499,None,None,None,None,r,F,0,1,1,2,,,,,83.95180699997582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.93439680000301,83.95180699997582,84.44839789997786,0.5143551001092419,85.06439129996579,85.0814759999048,85.56458979996387,109.35808819998056,e,24.284311500028707,None,None,1.147452300065197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
27,ModifiedSH,resources/new_sounds_2/M4flesh.wav,0.722767978649223,None,None,None,None,r,M,0,2,2,3,,,,,109.3766217000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.35888249997515,109.3766217000084,109.87344769993797,0.514959399937652,110.58949929999653,110.60622809990309,111.08932349993847,113.7233151999535,e,3.131134699913673,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
38,ModifiedT,resources/new_sounds_2/M7butter.wav,0.44172335600907,None,None,None,None,r,M,0,3,3,14,,,,,113.74088029994164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.72411319997627,113.74088029994164,114.23826089990325,0.5145184999564663,114.6713670999743,114.68814959994052,115.17125929996837,116.77231129992288,e,2.095937200007029,None,None,0.9644033999647945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bertia,001,2024-02-04_22h17.15.421,M2_experiment1,2023.2.3,59.85515050590115,2024-02-04 22h17.34.087831 +0100,
