ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,text_recording1_3.stopped,key_resp_question3.started,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,sound1_3.stopped,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,sound3.stopped,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.02766459994018078,0.051275999983772635,0.051275999983772635,37.94454389996827,space,37.87970889999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,37.94458440004382,37.961179699981585,37.961179699981585,42.40966220002156,space,4.436647900030948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.409703099983744,42.42648809996899,42.42648809996899,51.59037210000679,space,9.151229799957946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.59041309996974,51.60544970002957,52.60513639997225,52.58910660003312,52.589126399951056,52.60513639997225,52.60513639997225,60.82019829994533,space,8.206253699958324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.820247199968435,60.84684789995663,61.83526089997031,61.83537585003069,83.94555459998082,space,22.095222000032663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.94559849996585,83.96166809997521,83.96166809997521,97.40771569998469,space,13.429663899936713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
41,ModifiedT,resources/new_sounds_2/F4utter.wav,0.53952380952381,None,None,None,None,r,F,0,0,0,17,,,,,97.49922380002681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.47717329999432,97.49922380002681,97.9092581999721,0.5017127000028268,98.48223540000618,98.48223540000618,98.96069390000775,103.97450310003478,r,5.487256600055844,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
49,NotModifiedT,resources/new_sounds_not_modified/M2lot.wav,0.466575772426751,None,None,None,None,e,M,0,1,1,25,,,,,104.01546350005083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.98164789995644,104.01546350005083,104.48645570001099,0.5060091000050306,104.95268550002947,104.95268550002947,105.45367099996656,106.54602290003095,e,1.5791687000310048,None,None,0.9729635999538004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
36,NotModifiedT,resources/new_sounds_not_modified/F4lot.wav,0.386965569882676,None,None,None,None,e,F,0,2,2,12,,,,,106.5818750000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.54818120005075,106.5818750000326,107.0543082000222,0.5070071000372991,107.45340949995443,107.43652480002493,107.94026169995777,109.72243900003377,e,2.2767569000134245,None,None,0.9061050000600517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
32,ModifiedT,resources/new_sounds_2/M2city.wav,0.658866213151928,None,None,None,None,r,M,0,3,3,8,,,,,109.75032790005207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.7233772999607,109.75032790005207,110.23582069994882,0.5128994999686256,110.92372530000284,110.88601979997475,,111.2610612999415,r,0.35703860002104193,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacey,001,2024-02-06_20h19.48.536,M2_experiment1,2023.2.3,59.948659981442226,2024-02-06 20h20.10.147420 +0100,
