ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,sound1_3.stopped,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,sound3.stopped,key_resp_question1.started,text_recording3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.04788410011678934,0.06908970000222325,0.06908970000222325,41.22211780003272,space,41.14783659996465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,41.22215609997511,41.23780920007266,41.23780920007266,56.15050600003451,space,14.909652299946174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.150546400109306,56.16779879992828,56.16779879992828,69.24501499999315,space,13.072156599955633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.24505100003444,69.26045159995556,70.26075670006685,70.24457319988869,70.24459089990705,70.26075670006685,70.26075670006685,77.9095219001174,space,7.641505599953234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.90955900005065,77.9383203999605,78.92478969995864,78.92467073001899,96.4420765999239,space,17.509603100130334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4421558000613,96.45798170007765,96.45798170007765,116.0468679999467,space,19.58637739997357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
35,NotModifiedSH,resources/new_sounds_not_modified/M7mosh.wav,0.618134342110551,None,None,None,None,e,M,0,0,0,11,,,,,116.12721690000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.10887950006872,116.12721690000035,116.55021680006757,0.5034894999116659,117.16678670002148,117.19871599995531,117.68302310002036,121.13153659994714,e,3.9518797998316586,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
40,ModifiedSH,resources/new_sounds_2/F5fresher.wav,0.567437641723356,None,None,None,None,r,F,0,1,1,16,,,,,121.15788730001077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.13326280005276,121.15788730001077,121.6441212000791,0.51143529987894,122.21433490002528,122.21433490002528,122.71095460001379,123.31588319991715,e,1.0947098000906408,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
37,ModifiedT,resources/new_sounds_2/F4lot.wav,0.449274376417234,None,None,None,None,r,F,0,2,2,13,,,,,123.34142689988948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.31700740009546,123.34142689988948,123.8267685000319,0.5103120000567287,124.28067960008048,124.28067960008048,124.77873599994928,125.34873960004188,e,1.053351600188762,None,None,0.9650198000017554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
29,NotModifiedT,resources/new_sounds_2/M4getting.wav,0.612123590008089,None,None,None,None,e,M,0,3,3,5,,,,,125.37779129995033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.34998119994998,125.37779129995033,125.85950349993072,0.5101861997973174,126.47563949995674,126.47563949995674,126.97611960000359,127.53037009993568,e,1.0372952001634985,None,None,1.1268863999284804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel,001,2024-03-08_19h25.40.918,M2_experiment1,2023.2.3,60.054577624214375,2024-03-08 19h26.00.123898 +0100,
