ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,sound3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.04372960003092885,0.06330340006388724,0.06330340006388724,33.76129600009881,space,33.68659220007248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,33.761333300033584,33.7768284000922,33.7768284000922,37.52653639996424,space,3.747456799959764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.52658069995232,37.542525900062174,37.542525900062174,73.21439510001801,space,35.65976720000617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.21443539997563,73.23014240013435,74.22986089996994,74.21370950015262,74.21373290009797,74.22986089996994,74.22986089996994,80.46216550003737,space,6.220586000010371,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.46220179996453,80.48823000001721,81.47732520010322,81.47744275005535,89.79230129998177,space,8.308896099915728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.81870570010506,89.83104800013825,89.83104800013825,100.83860070002265,space,11.00059559987858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
44,ModifiedSH,resources/new_sounds_2/F2thrasher.wav,0.510249433106576,None,None,None,None,r,F,0,0,0,20,,,,,100.91191040002741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.89178450009786,100.91191040002741,101.35389110003598,0.5153504000045359,101.85366949997842,101.8704419999849,1.0319048000965267,102.35358600015752,104.27094530011527,e,2.4130472000688314,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
49,NotModifiedT,resources/new_sounds_not_modified/M2lot.wav,0.466575772426751,None,None,None,None,e,M,0,1,1,25,,,,,104.29354280000553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.27407269994728,104.29354280000553,104.7862243000418,0.512525700032711,105.25262730009854,105.25262730009854,0.979318399913609,105.75240959995426,107.5700551001355,e,2.3016381999477744,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
41,ModifiedT,resources/new_sounds_2/F4utter.wav,0.53952380952381,None,None,None,None,r,F,0,2,2,17,,,,,107.59121680003591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.57081210007891,107.59121680003591,108.08496970008127,0.5145235999953002,108.61836550012231,108.65785770001821,1.087407800136134,109.11803660006262,109.66955620003864,e,1.0418563999701291,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
50,NotModifiedSH,resources/new_sounds_not_modified/M3dish.wav,0.409302075267592,None,None,None,None,e,M,0,3,3,26,,,,,109.68993110000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6703290999867,109.68993110000156,110.18424129998311,0.5142896999605,110.58411530009471,110.61909430008382,,,110.96867520012893,e,0.3677968999836594,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dave,001,2024-03-08_18h19.14.645,M2_experiment1,2023.2.3,59.87966585525732,2024-03-08 18h19.30.065973 +0100,
