ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,text_recording1_3.stopped,key_resp_question3.started,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,text_recording3.stopped,sound3.stopped,key_resp_question1.started,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,key_replay1.rt,key_replay1.duration,Bye.started,text_6.started,text_6.stopped,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.03839529992546886,0.0706836999161169,0.0706836999161169,27.353680899948813,space,27.2695195999695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,27.353721499908715,27.36948669992853,27.36948669992853,30.985554700018838,space,3.6042026999639347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.985591499949805,31.00246370001696,31.00246370001696,64.7417121999897,space,33.7259328000946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.74175439996179,64.75658419996034,65.7561436999822,65.7401442999253,65.74016679998022,65.7561436999822,65.7561436999822,76.27041369990911,space,10.50623669999186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27045219996944,76.29703949997202,77.28706120001152,77.2856318499311,90.48230839997996,space,13.19303020008374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.48235079995357,90.49859669990838,90.49859669990838,122.85494170000311,space,32.34909020003397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
48,ModifiedT,resources/new_sounds_2/M3lottery.wav,0.649773242630385,None,None,None,None,r,M,0,0,0,24,,,,,122.90972459991463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.8964960000012,122.90972459991463,123.37021299998742,0.5153314000926912,124.0199821999995,124.0199821999995,1.1655564000830054,124.52137480000965,152.99504349997733,e,28.963203899911605,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
35,NotModifiedSH,resources/new_sounds_not_modified/M7mosh.wav,0.618134342110551,None,None,None,None,e,M,0,1,1,11,,,,,153.01366129994858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.99825549998786,153.01366129994858,153.50997859996278,0.5121208999771625,154.1606560999062,154.12641499994788,,154.62631710001733,163.82534410001244,e,9.693840499967337,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
25,ModifiedSH,resources/new_sounds_2/F1swoosh.wav,0.770486715748874,None,None,None,None,r,F,0,2,2,1,,,,,163.8437910999637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.82634109992068,163.8437910999637,164.3397078999551,0.5138610999565572,165.12271369993687,165.10609369992744,,165.60600699996576,176.2374051999068,r,11.123924399958923,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
47,ModifiedT,resources/new_sounds_2/M6root.wav,0.557210884353742,None,None,None,None,r,M,0,3,3,23,,,,,176.25493679998908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2381888999371,176.25493679998908,176.7522381999297,0.5144196000183001,177.3187555000186,177.30200479994528,1.0809306999435648,177.8018696999643,178.76977299991995,e,1.4647504000458866,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali,001,2024-02-04_21h45.24.361,M2_experiment1,2023.2.3,60.03608169425545,2024-02-04 21h45.38.806025 +0100,
