ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,text_recording1_3.stopped,key_resp_question3.started,sound1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,sound1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,sound3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,Bye.started,text_6.started,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.010835599969141185,0.03152080002473667,0.03152080002473667,17.161444599973038,space,17.116294500010554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,17.161478800000623,17.177040499984287,17.177040499984287,25.758447500003967,space,8.573145999980625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.758482899982482,25.774830700014718,25.774830700014718,51.083535699988715,space,25.296292099985294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.08357439999236,51.098772900004406,52.098864700004924,52.0828614999773,52.082880300004035,52.098864700004924,52.098864700004924,64.31269400002202,space,12.203509800019674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.31272990000434,64.33882529998664,65.32781519996934,65.32804090002901,81.8737413000199,space,16.539710999990348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.87378289998742,81.88965289999032,81.88965289999032,104.9155326000182,space,23.01400319999084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
30,ModifiedT,resources/new_sounds_2/F3footer.wav,0.597777777777778,None,None,None,None,r,F,0,0,0,6,,,,,104.96589489997132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.95283630001359,104.96589489997132,105.41623640002217,0.5008419000077993,106.01502739998978,106.01502739998978,1.1000855999882333,106.51455919997534,109.28236469998956,r,3.2637455000076443,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
34,ModifiedSH,resources/new_sounds_2/M7mosh.wav,0.486031746031746,None,None,None,None,r,M,0,1,1,10,,,,,109.29952060000505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2838475999888,109.29952060000505,109.79643819999183,0.5130755999707617,110.29630699998233,110.27965320000658,1.0129331999924034,110.77951969997957,115.66228930000216,e,5.36837010004092,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
36,NotModifiedT,resources/new_sounds_not_modified/F4lot.wav,0.386965569882676,None,None,None,None,e,F,0,2,2,12,,,,,115.6778852000134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.66310280002654,115.6778852000134,116.17727320000995,0.5145517999771982,116.57732119999127,116.56081579998136,0.9146021999767981,117.0602936000214,118.62797470000805,e,2.050679400039371,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
42,NotModifiedT,resources/new_sounds_not_modified/F4feat.wav,0.478604920503187,None,None,None,None,e,F,0,3,3,18,,,,,118.64335590001428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.62877710000612,118.64335590001428,119.14305539999623,0.5146615999983624,119.62615540000843,119.60947959998157,0.9977530000032857,120.10930640000151,126.8585110999993,r,7.237059000006411,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William,001,2024-02-04_15h11.01.669,M2_experiment1,2023.2.3,60.046103378743034,2024-02-04 15h11.14.304543 +0100,
